Title,Synopsis,Original Language,Runtime,Director,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link,All Genres
Transformers Rise Of The Beasts,"Returning to the action and spectacle that have captured moviegoers around the world, Transformers: Rise of the Beasts will take audiences on a '90s globetrotting adventure with the Autobots and introduce a whole new faction of Transformer -- the Maximals -- to the existing battle on earth between Autobots and Decepticons.",Eng,127,Steven Caple Jr.,"['Anthony Ramos', 'Noah', 'Dominique Fishback', 'Elena', 'Ron Perlman', 'Optimus Primal Voice', 'Michelle Yeoh', 'Maximal Airazor Voice', 'Pete Davidson', 'Mirage Voice', 'Steven Caple Jr.', 'Director']",0.52,0.91,232,Action,https://www.rottentomatoes.com/m/transformers_rise_of_the_beasts,"Action, Adventure, Sci-fi, Fantasy"
Star Wars The Rise Of Skywalker,"When it's discovered that the evil Emperor Palpatine did not die at the hands of Darth Vader, the rebels must race against the clock to find out his whereabouts. Finn and Poe lead the Resistance to put a stop to the First Order's plans to form a new Empire, while Rey anticipates her inevitable confrontation with Kylo Ren. Warning: Some flashing-lights scenes in this film may affect photosensitive viewers.",Eng,142,J.J. Abrams,"['Carrie Fisher', 'Leia Organa', 'Mark Hamill', 'Luke Skywalker', 'Adam Driver', 'Kylo Ren', 'Daisy Ridley', 'Rey', 'John Boyega', 'Finn', 'Oscar Isaac', 'Poe Dameron']",0.51,0.86,527,Sci-fi,https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,"Sci-fi, Adventure, Action, Fantasy"
Bullet Train 2022,"In Bullet Train, Brad Pitt stars as Ladybug, an unlucky assassin determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe -- all with connected, yet conflicting, objectives -- on the world's fastest train. From the director of Deadpool 2, David Leitch, the end of the line is only the beginning in a wild, non-stop thrill ride through modern-day Japan.",Eng,126,David Leitch,"['Brad Pitt', 'Ladybug', 'Joey King', 'Prince', 'Aaron Taylor-Johnson', 'Tangerine', 'Brian Tyree Henry', 'Lemon', 'Andrew Koji', 'Kimura', 'Hiroyuki Sanada']",0.54,0.76,340,Action,https://www.rottentomatoes.com/m/bullet_train_2022,"Action, Comedy"
Retribution 2023,"Liam Neeson stars in Retribution, an immersive ticking clock thriller that straps audiences in for a high-octane ride of redemption and revenge. When a mysterious caller puts a bomb under his car seat, Matt Turner (Neeson) begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",Eng,90,Nimród Antal,"['Liam Neeson', 'Matt Truner', 'Noma Dumezweni', 'Angela Brickmann', 'Matthew Modine', 'Anders Muller', 'Lily Aspell', 'Emily Turner', 'Jack Champion', 'Zach Turner', 'Embeth Davidtz', 'Heather Turner']",0.29,0.66,93,Action,https://www.rottentomatoes.com/m/retribution_2023,"Action, Mystery & thriller"
The Bricklayer 2023,"The Bricklayer follows a rogue insurgent blackmailing the CIA by assassinating foreign journalists and making it appear the agency is responsible. As other nations begin turning against the U.S., the CIA must lure Steve Vail (Aaron Eckhart) -- their most brilliant and rebellious operative -- out of retirement. With an elite and deadly skill set, Vail is tasked with helping clear the agency's name, forcing him to confront his checkered past while unraveling an international conspiracy.",Eng,110,Renny Harlin,"['Aaron Eckhart', 'Vail', 'Nina Dobrev', 'Kate', 'Clifton Collins Jr.', 'Radek', 'Tim Blake Nelson', ""O'Malley"", 'Ilfenesh Hadera', 'Tye', 'Oliver Trevena', 'Patricio']",0.55,0.42,20,Action,https://www.rottentomatoes.com/m/the_bricklayer_2023,"Action, Mystery & thriller"
Hypnotic 2023,"Determined to find his missing daughter, Austin detective Danny Rourke finds himself spiraling down a rabbit hole investigating a series of reality-bending crimes where he will ultimately call into question his most basic assumptions about everything and everyone in his world. Aided by Diana Cruz, a gifted psychic, Rourke simultaneously pursues and is pursued by a lethal specter -- the one man he believes holds the key to finding the missing girl -- only to discover more than he ever bargained for.",Eng,92,Robert Rodriguez,"['Ben Affleck', 'Daniel Rourke', 'Alice Braga', 'Diana Cruz', 'JD Pardo', 'Nicks', 'Hala Finley', 'Minnie', 'Jackie Earle Haley', 'Jeremiah', 'William Fichtner', 'Dellrayne']",0.32,0.62,114,Mystery & thriller,https://www.rottentomatoes.com/m/hypnotic_2023,"Mystery & thriller, Action"
Ghosted 2023,"Salt-of-the-earth Cole (Chris Evans) falls head over heels for enigmatic Sadie (Ana de Armas)--but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",Eng,116,Dexter Fletcher,"['Chris Evans', 'Cole Turner', 'Ana de Armas', 'Sadie', 'Adrien Brody', 'Leveque', 'Mike Moh', 'Wagner', 'Amy Sedaris', 'Mom', 'Tate Donovan', 'Dad']",0.25,0.55,118,Action,https://www.rottentomatoes.com/m/ghosted_2023,"Action, Romance, Adventure"
Eternals,"Marvel Studios' Eternals features an exciting new team of Super Heroes in the Marvel Cinematic Universe, ancient aliens who have been living on Earth in secret for thousands of years. Following the events of Avengers: Endgame, an unexpected tragedy forces them out of the shadows to reunite against mankind's most ancient enemy, the Deviants.",Eng,157,Chloé Zhao,"['Angelina Jolie', 'Thena', 'Salma Hayek', 'Ajak', 'Kit Harington', 'Dane Whitman', 'Gemma Chan', 'Sersi', 'Richard Madden', 'Ikaris', 'Kumail Nanjiani', 'Kingo']",0.47,0.77,412,Action,https://www.rottentomatoes.com/m/eternals,"Action, Adventure, Fantasy"
The Gray Man 2022,"When the CIA's most skilled mercenary--whose true identity is known to none--accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.",Eng,129,"Anthony Russo, Joe Russo","['Ryan Gosling', 'Six', 'Chris Evans', 'Lloyd Hansen', 'Ana de Armas', 'Dani Miranda', 'Regé-Jean Page', 'Carmichael', 'Billy Bob Thornton', 'Wagner Moura']",0.45,0.9,273,Action,https://www.rottentomatoes.com/m/the_gray_man_2022,"Action, Mystery & thriller"
Renfield,"In this modern monster tale of Dracula's loyal servant, Nicholas Hoult (Mad Max: Fury Road, X-Men franchise) stars as Renfield, the tortured aide to history's most narcissistic boss, Dracula (Oscar® winner Nicolas Cage). Renfield is forced to procure his master's prey and do his every bidding, no matter how debased. But now, after centuries of servitude, Renfield is ready to see if there's a life outside the shadow of The Prince of Darkness. If only he can figure out how to end his codependency.",Eng,93,Chris McKay,"['Nicolas Cage', 'Dracula', 'Nicholas Hoult', 'Renfield', 'Awkwafina', 'Rebecca Quincy', 'Ben Schwartz', 'Teddy Lobo', 'Adrian Martinez', 'Chris Marcos', 'Shohreh Aghdashloo']",0.58,0.79,301,Horror,https://www.rottentomatoes.com/m/renfield,"Horror, Action, Comedy, Fantasy"
Meg 2 The Trench,"Get ready for the ultimate adrenaline rush this summer in ""Meg 2: The Trench,"" a literally larger-than-life thrill ride that supersizes the 2018 blockbuster and takes the action to higher heights and even greater depths with multiple massive Megs and so much more! Dive into uncharted waters with Jason Statham and global action icon Wu Jing as they lead a daring research team on an exploratory dive into the deepest depths of the ocean. Their voyage spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival. Pitted against colossal Megs and relentless environmental plunderers, our heroes must outrun, outsmart, and outswim their merciless predators in a pulse-pounding race against time. Immerse yourself in the most electrifying cinematic experience of the year with ""Meg 2: The Trench"" -- where the depths of the ocean are matched only by the heights of sheer, unstoppable excitement!",Eng,116,Ben Wheatley,"['Jason Statham', 'Jonas Taylor', 'Jing Wu', 'Jiuming Zhang', 'Shuya Sophia Cai', 'Meiying', 'Page Kennedy', 'DJ', 'Sergio Peris-Mencheta', 'Montes', 'Skyler Samuels', 'Jess']",0.27,0.73,182,Sci-fi,https://www.rottentomatoes.com/m/meg_2_the_trench,"Sci-fi, Mystery & thriller, Action, Adventure"
Warhorse One,"WARHORSE ONE follows a desperate civilian rescue attempt set in motion shortly after the 2021 withdrawal of the United States military from Afghanistan. After a SEAL team helicopter is downed en route to the rendezvous point, the lone surviving operator must evade hostile insurgents and navigate treacherous terrain while guiding his one remaining charge--a traumatized young girl--to safety.",Eng,126,"William Kaufman, Johnny Strong","['Johnny Strong', 'Master Chief Richard Mirko', 'Athena Durner', 'Raj Kala', 'Radam', 'James Sherrill', 'Siya Rostami', 'Tarad', 'Todd Jenkins', 'Youssef']",0.2,0.71,5,Drama,https://www.rottentomatoes.com/m/warhorse_one,"Drama, Action, War"
Jurassic World Dominion,"This summer, experience the epic conclusion to the Jurassic era as two generations unite for the first time. Chris Pratt and Bryce Dallas Howard are joined by Oscar®-winner Laura Dern, Jeff Goldblum and Sam Neill in Jurassic World Dominion, a bold, timely and breathtaking new adventure that spans the globe. From Jurassic World architect and director Colin Trevorrow, Dominion takes place four years after Isla Nublar has been destroyed. Dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",Eng,147,Colin Trevorrow,"['Chris Pratt', 'Owen Grady', 'Bryce Dallas Howard', 'Claire Dearing', 'Laura Dern', 'Ellie Sattler', 'Jeff Goldblum', 'Ian Malcolm', 'Sam Neill', 'Alan Grant', 'DeWanda Wise', 'Kayla Watts']",0.29,0.77,403,Action,https://www.rottentomatoes.com/m/jurassic_world_dominion,"Action, Adventure, Sci-fi, Mystery & thriller"
Ant Man And The Wasp Quantumania,"Super-Hero partners Scott Lang (Paul Rudd) and Hope van Dyne (Evangeline Lilly) return to continue their adventures as Ant-Man and the Wasp. Together, with Hope's parents Janet van Dyne (Michelle Pfeiffer) and Hank Pym (Michael Douglas), and Scott's daughter Cassie Lang (Kathryn Newton), the family finds themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",Eng,124,Peyton Reed,"['Paul Rudd', 'Scott Lang, Ant-Man', 'Evangeline Lilly', 'Hope van Dyne, Wasp', 'Jonathan Majors', 'Kang the Conqueror', 'Bill Murray', 'Lord Krylar', 'Kathryn Newton', 'Cassie Lang', 'Michelle Pfeiffer', 'Janet van Dyne, Wasp']",0.46,0.82,410,Action,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania,"Action, Adventure, Fantasy, Comedy"
65,"After a catastrophic crash on an unknown planet, pilot Mills (Adam Driver) quickly discovers he’s actually stranded on Earth... 65 million years ago. Now, with only one chance at rescue, Mills and the only other survivor, Koa (Ariana Greenblatt), must make their way across an unknown terrain riddled with dangerous prehistoric creatures in an epic fight to survive.",Eng,93,"Scott Beck, Bryan Woods","['Adam Driver', 'Mills', 'Ariana Greenblatt', 'Koa', 'Chloe Coleman', 'Nevine', 'Scott Beck', 'Director', 'Bryan Woods', 'Director', 'Scott Beck', 'Screenwriter']",0.36,0.65,128,Sci-fi,https://www.rottentomatoes.com/m/65,"Sci-fi, Adventure, Action, Mystery & thriller"
Operation Fortune Ruse De Guerre,"In the film, super spy Orson Fortune (Jason Statham) must track down and stop the sale of a deadly new weapons technology wielded by billionaire arms broker Greg Simmonds (Hugh Grant). Reluctantly teamed with some of the world’s best operatives (Aubrey Plaza, Cary Elwes, Bugzy Malone), Fortune and his crew recruit Hollywood's biggest movie star Danny Francesco (Josh Hartnett) to help them on their globe-trotting undercover mission to save the world.",Eng,114,Guy Ritchie,"['Jason Statham', 'Orson Fortune', 'Aubrey Plaza', 'Josh Hartnett', 'Danny Francesco', 'Cary Elwes', 'Nathan Jasmine', 'Bugzy Malone', 'Hugh Grant', 'Greg Simmonds']",0.51,0.82,151,Action,https://www.rottentomatoes.com/m/operation_fortune_ruse_de_guerre,"Action, Comedy, Mystery & thriller"
Batman V Superman Dawn Of Justice,"It's been nearly two years since Superman's (Henry Cavill) colossal battle with Zod (Michael Shannon) devastated the city of Metropolis. The loss of life and collateral damage left many feeling angry and helpless, including crime-fighting billionaire Bruce Wayne (Ben Affleck). Convinced that Superman is now a threat to humanity, Batman embarks on a personal vendetta to end his reign on Earth, while the conniving Lex Luthor (Jesse Eisenberg) launches his own crusade against the Man of Steel.",Eng,153,Zack Snyder,"['Ben Affleck', 'Bruce Wayne, Batman', 'Henry Cavill', 'Clark Kent, Superman', 'Amy Adams', 'Lois Lane', 'Jesse Eisenberg', 'Lex Luthor', 'Diane Lane', 'Martha Kent', 'Laurence Fishburne', 'Perry White']",0.29,0.63,439,Action,https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice,"Action, Adventure, Sci-fi, Fantasy"
Expend4Bles,"A new generation of stars join the world's top action stars for an adrenaline-fueled adventure in Expend4bles. Reuniting as the team of elite mercenaries, Jason Statham, Dolph Lundgren, Randy Couture, and Sylvester Stallone are joined for the first time by Curtis ""50 Cent"" Jackson, Megan Fox, Tony Jaa, Iko Uwais, Jacob Scipio, Levy Tran, and Andy Garcia. Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world's last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give ""new blood"" a whole new meaning.",Eng,103,Scott Waugh,"['Jason Statham', 'Lee Christmas', '50 Cent', 'Easy Day', 'Megan Fox', 'Gina', 'Dolph Lundgren', 'Gunner Jensen', 'Tachakorn Yeerum', 'Iko Uwais', 'Rahmat']",0.14,0.7,124,Action,https://www.rottentomatoes.com/m/expend4bles,"Action, Adventure"
Ava 2020 2,An assassin becomes marked for death by her own black ops organization after questioning orders and breaking protocol.,Eng,97,Tate Taylor,"['Jessica Chastain', 'Ava', 'John Malkovich', 'Duke', 'Colin Farrell', 'Simon', 'Jess Weixler', 'Judy', 'Common', 'Michael', 'Geena Davis', 'Bobbi']",0.2,0.29,40,Action,https://www.rottentomatoes.com/m/ava_2020_2,"Action, Mystery & thriller"
The Kings Man,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them. Discover the origins of the very first independent intelligence agency in ""The King's Man.""",Eng,131,Matthew Vaughn,"['Ralph Fiennes', 'Orlando Oxford', 'Harris Dickinson', 'Conrad Oxford', 'Rhys Ifans', 'Grigori Rasputin', 'Djimon Hounsou', 'Shola', 'Gemma Arterton', 'Polly', 'Matthew Goode', 'Morton']",0.4,0.8,183,Action,https://www.rottentomatoes.com/m/the_kings_man,"Action, Adventure"
The Painter 2023,"An ex-CIA operative turned painter is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind in a high-stakes game of survival.",Eng,100,Kimani Ray Smith,"['Charlie Weber', 'Peter', 'Madison Bailey', 'Sophia', 'Jon Voight', 'Byrne', 'Marie Avgeropoulos', 'Piasecki', ""Luisa d'Oliveira"", 'Agent Kim', 'Leah Gibson', 'Lucy']",0.0,0.52,10,Mystery & thriller,https://www.rottentomatoes.com/m/the_painter_2023,"Mystery & thriller, Action, Crime"
The Mummy 2017,"Nick Morton is a soldier of fortune who plunders ancient sites for timeless artifacts and sells them to the highest bidder. When Nick and his partner come under attack in the Middle East, the ensuing battle accidentally unearths Ahmanet, a betrayed Egyptian princess who was entombed under the desert for thousands of years. With her powers constantly evolving, Morton must now stop the resurrected monster as she embarks on a furious rampage through the streets of London.",Eng,107,Alex Kurtzman,"['Tom Cruise', 'Nick Morton', 'Russell Crowe', 'Henry Jekyll', 'Annabelle Wallis', 'Jenny Halsey', 'Sofia Boutella', 'Ahmanet', 'Jake Johnson', 'Chris Vail', 'Courtney B. Vance', 'Col. Greenway']",0.15,0.35,317,Action,https://www.rottentomatoes.com/m/the_mummy_2017,"Action, Adventure, Fantasy, Horror"
Heart Of Stone 2023,"Rachel Stone is an intelligence operative, the only woman who stands between her powerful global peacekeeping organization and the loss of its most valuable -- and dangerous -- asset.",Eng,122,Tom Harper,"['Gal Gadot', 'Rachel Stone', 'Jamie Dornan', 'Parker', 'Alia Bhatt', 'Keya Dhawan', 'Sophie Okonedo', 'Nomad', 'Matthias Schweighöfer', 'Jack of Hearts', 'Jing Lusi', 'Yang']",0.3,0.51,136,Action,https://www.rottentomatoes.com/m/heart_of_stone_2023,"Action, Mystery & thriller, Crime"
Kandahar 2023,"An undercover CIA operative gets stuck in hostile territory in Afghanistan after his mission is exposed. Accompanied by his translator, he must fight enemy combatants as he tries to reach an extraction point in Kandahar.",Eng,119,Ric Roman Waugh,"['Gerard Butler', 'Tom Harris', 'Navid Negahban', 'Mohammad ""Mo"" Doud', 'Ali Fazal', 'Kahil Nasir', 'Travis Fimmel', 'Roman Chalmers', 'Elnaaz Norouzi', 'Shina Asadi', 'Bahador Foladi', 'Farzad Asadi']",0.45,0.82,102,Action,https://www.rottentomatoes.com/m/kandahar_2023,"Action, Mystery & thriller"
Equalizer 2,"If you have a problem and there is nowhere else to turn, the mysterious and elusive Robert McCall will deliver the vigilante justice you seek. This time, however, McCall's past cuts especially close to home when thugs kill Susan Plummer -- his best friend and former colleague. Now out for revenge, McCall must take on a crew of highly trained assassins who'll stop at nothing to destroy him.",Eng,121,Antoine Fuqua,"['Denzel Washington', 'Robert McCall', 'Pedro Pascal', 'Dave York', 'Ashton Sanders', 'Miles Whittaker', 'Bill Pullman', 'Brian Plummer', 'Melissa Leo', 'Susan Plummer', 'Jonathan Scarfe', 'Resnik']",0.52,0.61,212,Action,https://www.rottentomatoes.com/m/equalizer_2,"Action, Mystery & thriller"
Suicide Squad 2016,"Figuring they're all expendable, a U.S. intelligence officer decides to assemble a team of dangerous, incarcerated supervillains for a top-secret mission. Now armed with government weapons, Deadshot (Will Smith), Harley Quinn (Margot Robbie), Captain Boomerang, Killer Croc and other despicable inmates must learn to work together. Dubbed Task Force X, the criminals unite to battle a mysterious and powerful entity, while the diabolical Joker (Jared Leto) launches an evil agenda of his own.",Eng,123,David Ayer,"['Will Smith', 'Deadshot', 'Jared Leto', 'The Joker', 'Margot Robbie', 'Harley Quinn', 'Joel Kinnaman', 'Rick Flag', 'Viola Davis', 'Amanda Waller', 'Jai Courtney', 'Boomerang']",0.26,0.58,394,Action,https://www.rottentomatoes.com/m/suicide_squad_2016,"Action, Adventure, Fantasy"
Fast And Furious,"When a crime brings them back to the mean streets of Los Angeles, fugitive ex-convict Dom Toretto (Vin Diesel) and agent Brian O'Conner (Paul Walker) reignite their high-octane feud. However, when a common enemy rears his head, Dom and Brian must learn how to work together and trust one another in order to defeat him.",Eng,107,Justin Lin,"['Vin Diesel', 'Dom Toretto', 'Paul Walker', ""Brian O'Conner"", 'Michelle Rodriguez', 'Letty', 'Jordana Brewster', 'Mia Toretto', 'John Ortiz', 'Campos', 'Laz Alonso', 'Fenix']",0.28,0.67,179,Action,https://www.rottentomatoes.com/m/fast_and_furious,"Action, Mystery & thriller"
Superman Man Of Steel,"With the imminent destruction of Krypton, their home planet, Jor-El (Russell Crowe) and his wife seek to preserve their race by sending their infant son to Earth. The child's spacecraft lands at the farm of Jonathan (Kevin Costner) and Martha (Diane Lane) Kent, who name him Clark and raise him as their own son. Though his extraordinary abilities have led to the adult Clark (Henry Cavill) living on the fringe of society, he finds he must become a hero to save those he loves from a dire threat.",Eng,143,Zack Snyder,"['Henry Cavill', 'Clark Kent, Kal-El', 'Amy Adams', 'Lois Lane', 'Michael Shannon', 'General Zod', 'Diane Lane', 'Martha Kent', 'Russell Crowe', 'Jor-El', 'Antje Traue', 'Faora-Ul']",0.56,0.75,344,Action,https://www.rottentomatoes.com/m/superman_man_of_steel,"Action, Adventure, Sci-fi, Fantasy"
Godzilla King Of The Monsters 2019,"Members of the crypto-zoological agency Monarch face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species-thought to be mere myths-rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Eng,132,Michael Dougherty,"['Kyle Chandler', 'Dr. Mark Russell', 'Vera Farmiga', 'Dr. Emma Russell', 'Millie Bobby Brown', 'Madison Russell', 'Ken Watanabe', 'Dr. Ishiro Serizawa', 'Zhang Ziyi', 'Dr. Ilene Chen, Dr. Ling', 'Bradley Whitford', 'Dr. Rick Stanton']",0.42,0.83,352,Sci-fi,https://www.rottentomatoes.com/m/godzilla_king_of_the_monsters_2019,"Sci-fi, Action, Adventure"
